As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
20/Jan/2014,11.89,-0.02,-0.17
17/Jan/2014,11.91,0.08,0.68
16/Jan/2014,11.83,-0.03,-0.25
15/Jan/2014,11.86,0.22,1.89
14/Jan/2014,11.64,-0.17,-1.44
13/Jan/2014,11.81,0.04,0.34
10/Jan/2014,11.77,-0.15,-1.26
09/Jan/2014,11.92,0.08,0.68
08/Jan/2014,11.84,0.06,0.51
07/Jan/2014,11.78,0.00,0.00
06/Jan/2014,11.78,-0.06,-0.51
03/Jan/2014,11.84,0.05,0.42
02/Jan/2014,11.79,0.01,0.08
31/Dec/2013,11.78,0.10,0.86
30/Dec/2013,11.68,-0.03,-0.26
27/Dec/2013,11.71,0.06,0.52
23/Dec/2013,11.65,0.12,1.04
20/Dec/2013,11.53,0.05,0.44
19/Dec/2013,11.48,0.22,1.95
18/Dec/2013,11.26,0.01,0.09
17/Dec/2013,11.25,0.04,0.36
16/Dec/2013,11.21,0.02,0.18
13/Dec/2013,11.19,0.03,0.27
12/Dec/2013,11.16,-0.18,-1.59
11/Dec/2013,11.34,-0.02,-0.18
10/Dec/2013,11.36,-0.10,-0.87
09/Dec/2013,11.46,0.05,0.44
06/Dec/2013,11.41,0.01,0.09
05/Dec/2013,11.40,-0.08,-0.70
04/Dec/2013,11.48,-0.06,-0.52
03/Dec/2013,11.54,-0.07,-0.60
02/Dec/2013,11.61,0.00,0.00
29/Nov/2013,11.61,0.02,0.17
28/Nov/2013,11.59,0.04,0.35
27/Nov/2013,11.55,-0.03,-0.26
26/Nov/2013,11.58,0.00,0.00
25/Nov/2013,11.58,0.03,0.26
22/Nov/2013,11.55,0.08,0.70
21/Nov/2013,11.47,0.04,0.35
20/Nov/2013,11.43,-0.13,-1.12
19/Nov/2013,11.56,-0.04,-0.34
18/Nov/2013,11.60,0.06,0.52
15/Nov/2013,11.54,0.04,0.35
14/Nov/2013,11.50,0.09,0.79
13/Nov/2013,11.41,-0.03,-0.26
12/Nov/2013,11.44,0.01,0.09
11/Nov/2013,11.43,0.00,0.00
08/Nov/2013,11.43,-0.20,-1.72
07/Nov/2013,11.63,0.13,1.13
06/Nov/2013,11.50,-0.06,-0.52
05/Nov/2013,11.56,-0.01,-0.09
04/Nov/2013,11.57,0.15,1.31
