As Of,NAV per Share,Daily NAV Change,Daily NAV Change %
26-Sep-14,13.38,0.04,0.30
25-Sep-14,13.34,0.05,0.38
24-Sep-14,13.29,0.07,0.53
23-Sep-14,13.22,-0.15,-1.12
22-Sep-14,13.37,-0.16,-1.18
19-Sep-14,13.53,0.17,1.27
18-Sep-14,13.36,0.14,1.06
17-Sep-14,13.22,0.12,0.92
16-Sep-14,13.10,-0.10,-0.76
15-Sep-14,13.20,-0.13,-0.98
12-Sep-14,13.33,-0.01,-0.07
11-Sep-14,13.34,0.01,0.08
10-Sep-14,13.33,-0.13,-0.97
09-Sep-14,13.46,0.00,0.00
08-Sep-14,13.46,0.12,0.90
05-Sep-14,13.34,-0.04,-0.30
04-Sep-14,13.38,0.05,0.38
03-Sep-14,13.33,0.06,0.45
02-Sep-14,13.27,0.07,0.53
01-Sep-14,13.20,0.13,0.99
29-Aug-14,13.07,0.07,0.54
28-Aug-14,13.00,-0.06,-0.46
27-Aug-14,13.06,-0.03,-0.23
26-Aug-14,13.09,0.03,0.23
25-Aug-14,13.06,0.11,0.85
22-Aug-14,12.95,-0.01,-0.08
21-Aug-14,12.96,0.05,0.39
20-Aug-14,12.91,0.03,0.23
19-Aug-14,12.88,0.14,1.10
18-Aug-14,12.74,0.12,0.95
14-Aug-14,12.62,0.09,0.72
13-Aug-14,12.53,-0.06,-0.48
12-Aug-14,12.59,0.07,0.56
11-Aug-14,12.52,0.15,1.21
08-Aug-14,12.37,-0.09,-0.72
07-Aug-14,12.46,0.11,0.89
06-Aug-14,12.35,-0.04,-0.32
05-Aug-14,12.39,0.00,0.00
04-Aug-14,12.39,0.04,0.32
01-Aug-14,12.35,-0.14,-1.12
31-Jul-14,12.49,-0.09,-0.72
30-Jul-14,12.58,0.05,0.40
29-Jul-14,12.53,0.11,0.89
28-Jul-14,12.42,-0.07,-0.56
25-Jul-14,12.49,-0.04,-0.32
24-Jul-14,12.53,-0.02,-0.16
